,name,id,device,dataset,_runtime,max_epoch,_timestamp,batch_size,hash,seed,trained_norms,full_batch,model_args,train_exact_f1,epoch_training_time,epoch,loss_func,training_loss,accumulate_steps,model,metrics,train_exact_match,opt,_step,valid_exact_f1,valid_exact_match,train_ppl,training_error,train_accuracy,valid_accuracy,drop_last,n,valid_ppl,step_size,init_noise_norm,log_every_step,grad_norm,debug,noise_norm_train,train_run_iter,initial_run_iter,train_mse,valid_mse
44,dulcet-river-8857,24msewlv,cuda,squad,13360.0,4,1629362799.0,24.0,31330aa2808af59af000e77672b86636,2.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",86.88967643531656,2206.002786874771,3.0,logloss,0.7773089755331606,,bert_base_pretrained,"['f1', 'exact_match']",74.18691994200847,"{'name': 'SGD', 'alpha': 0.0005, 'momentum': 0.9}",7.0,85.11937992705049,76.09271523178808,,,,,,,,,,,,,,,,,
45,colorful-bee-8857,12pa5k20,cuda,squad,13359.0,4,1629362798.0,24.0,265db8f2d12781858677abafd2f118a7,4.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",64.51121716865165,2198.0738966464996,3.0,logloss,1.7185095380171216,,bert_base_pretrained,"['f1', 'exact_match']",48.27680681286317,"{'momentum': 0.9, 'name': 'SGD', 'alpha': 1e-05}",7.0,68.91780921989432,55.78051087984863,,,,,,,,,,,,,,,,,
46,sage-resonance-8856,1hi2lq4h,cuda,squad,15847.0,4,1629364882.0,24.0,1a49b0f277a6cbb143583f5f6ebd4f03,4.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",79.35625236726197,2262.291962623596,3.0,logloss,1.082437636025464,,bert_base_pretrained,"['f1', 'exact_match']",64.63315791276156,"{'alpha': 0.0001, 'momentum': 0.9, 'name': 'SGD'}",7.0,83.17927119116445,73.32071901608326,,,,,,,,,,,,,,,,,
47,earthy-cosmos-8855,zlmmww4o,cuda,squad,14535.0,4,1629362973.0,24.0,11168a3894d7ef891ead13fb736df1f1,0.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",79.41726533959323,2273.277092933655,3.0,logloss,1.0701463116340533,,bert_base_pretrained,"['f1', 'exact_match']",64.8922932910193,"{'name': 'SGD', 'alpha': 0.0001, 'momentum': 0.9}",7.0,82.5946227381555,72.50709555345317,,,,,,,,,,,,,,,,,
48,polar-dew-8854,n7ry8nsv,cuda,wikitext2,92.0,200,1629250323.0,1300.0,d06ad8d4770e1ccbe12e619f9fadb962,0.0,,True,{'tgt_len': 35},,0.3013143539428711,199.0,logloss,0.23509562015533447,,transformer_encoder,['ppl'],,"{'b2': 0.999, 'name': 'Adam', 'alpha': 0.0031623, 'b1': 0}",203.0,,,1.093739427929224,,,,,,,,,,,,,,,,
49,chocolate-feather-8853,28y66edp,cuda,wikitext2,89.0,200,1629249859.0,1300.0,bda52cd3e8459e982b2a5e653e256727,4.0,,True,{'tgt_len': 35},,0.29070329666137695,199.0,logloss,6.6707282066345215,,transformer_encoder,['ppl'],,"{'alpha': 0.562341, 'name': 'SGD'}",203.0,,,670.4731683458909,,,,,,,,,,,,,,,,
50,whole-cloud-8852,2wka5liq,cuda,wikitext2,89.0,200,1629249859.0,1300.0,a49b3dbff9180fd91ce39a6fbfe262c7,4.0,,True,{'tgt_len': 35},,0.29302978515625,199.0,logloss,6.345376968383789,,transformer_encoder,['ppl'],,"{'name': 'SGD', 'alpha': 0.1585, 'momentum': 0.9}",203.0,,,534.9489112735603,,,,,,,,,,,,,,,,
51,crisp-sun-8851,20qqy8d0,cuda,wikitext2,94.0,200,1629249855.0,1300.0,a03347e04c32047d1a2c3b11c6720527,1.0,,True,{'tgt_len': 35},,0.2986173629760742,199.0,logloss,0.20716990530490875,,transformer_encoder,['ppl'],,"{'b1': 0, 'b2': 0.999, 'name': 'Adam', 'alpha': 0.0031623}",203.0,,,1.07881856428107,,,,,,,,,,,,,,,,
52,sparkling-dust-8850,1558vo5l,cuda,wikitext2,92.0,200,1629249853.0,1300.0,c556c6edba84f4dce6bc71e098ebf688,4.0,,True,{'tgt_len': 35},,0.2956275939941406,199.0,logloss,0.14745138585567474,,transformer_encoder,['ppl'],,"{'b1': 0.9, 'b2': 0.999, 'name': 'Adam', 'alpha': 0.003981}",203.0,,,1.0555329524475046,,,,,,,,,,,,,,,,
53,pleasant-disco-8849,21bxa7wd,cuda,wikitext2,94.0,200,1629249854.0,1300.0,960c0d38964b1dc96ed4ba902e1611c7,2.0,,True,{'tgt_len': 35},,0.3024332523345947,199.0,logloss,0.2026049941778183,,transformer_encoder,['ppl'],,"{'b2': 0.999, 'name': 'Adam', 'alpha': 0.0031623, 'b1': 0}",203.0,,,1.0794264271634555,,,,,,,,,,,,,,,,
54,grateful-flower-8848,3f84bx29,cuda,wikitext2,87.0,200,1629249387.0,1300.0,79eedeaf1c85fc50d3419a1709390590,2.0,,True,{'tgt_len': 35},,0.29761433601379395,199.0,logloss,5.008175849914551,,transformer_encoder,['ppl'],,"{'alpha': 0.1585, 'momentum': 0.9, 'name': 'SGD'}",203.0,,,122.69872497936184,,,,,,,,,,,,,,,,
55,twilight-pine-8845,37mxjb5a,cuda,wikitext2,88.0,200,1629249388.0,1300.0,616f94f8a1240982f8865fb4fe35e095,0.0,,True,{'tgt_len': 35},,0.29685378074645996,199.0,logloss,6.4621262550354,,transformer_encoder,['ppl'],,"{'name': 'SGD', 'alpha': 0.562341}",203.0,,,726.6630060742551,,,,,,,,,,,,,,,,
56,peachy-glitter-8845,1s4iqb1q,cuda,wikitext2,87.0,200,1629249387.0,1300.0,786b0885f21bfc68cb359178a1ef1326,2.0,,True,{'tgt_len': 35},,0.2949502468109131,199.0,logloss,6.5117506980896,,transformer_encoder,['ppl'],,"{'name': 'SGD', 'alpha': 0.562341}",203.0,,,750.6104454015768,,,,,,,,,,,,,,,,
57,swift-haze-8845,1h3j4bi4,cuda,wikitext2,88.0,200,1629249388.0,1300.0,6601102f6e62ff877aa56042c82af27d,4.0,,True,{'tgt_len': 35},,0.2998659610748291,199.0,logloss,0.26081526279449463,,transformer_encoder,['ppl'],,"{'b1': 0, 'b2': 0.999, 'name': 'Adam', 'alpha': 0.0031623}",203.0,,,1.0925394546782132,,,,,,,,,,,,,,,,
